Local Date,State,Outage_status
03/10/2011,NY,1
03/10/2011,NY,0
03/10/2011,NY,0
03/10/2011,NY,1
03/10/2011,NY,0
03/10/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/09/2011,NY,1
03/09/2011,NY,0
03/09/2011,NY,0
03/09/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,0
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,0
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,0
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,0
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,1
03/08/2011,NY,0
03/08/2011,NY,0
03/08/2011,NY,1
03/07/2011,NY,0
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,0
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,0
03/07/2011,NY,1
03/07/2011,NY,0
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,0
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,0
03/07/2011,NY,0
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,1
03/07/2011,NY,1
03/06/2011,NY,0
03/06/2011,NY,1
03/06/2011,NY,0
03/06/2011,NY,1
03/06/2011,NY,1
03/06/2011,NY,0
03/06/2011,NY,0
03/06/2011,NY,0
03/06/2011,NY,1
03/06/2011,NY,0
03/06/2011,NY,0
03/06/2011,NY,1
03/06/2011,NY,0
03/06/2011,NY,1
03/06/2011,NY,1
03/06/2011,NY,1
03/05/2011,NY,1
03/05/2011,NY,1
03/05/2011,NY,0
03/05/2011,NY,1
03/05/2011,NY,1
03/05/2011,NY,0
03/05/2011,NY,1
03/05/2011,NY,1
03/05/2011,NY,0
03/05/2011,NY,1
03/05/2011,NY,0
03/05/2011,NY,0
03/05/2011,NY,0
03/05/2011,NY,1
03/05/2011,NY,1
03/05/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,0
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,1
03/04/2011,NY,0
03/04/2011,NY,1
03/04/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
